"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","162139","should send a prompt and check the appearance of an assistant word in a chat with the AI model","","Tue Dec 17 10:52:11 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","5957","should check `how it works` statments on mission control portal page","","Tue Dec 17 10:54:47 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","119040","should check an answer for a question about carrier fees in SMS API section","","Tue Dec 17 10:52:54 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","166737","should not submit the form to try the AI-powered demo (without an agreement to terms and conditions)","","Tue Dec 17 10:52:06 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","102464","should check pricing of voice API by selected country and currency","","Tue Dec 17 10:53:10 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","156343","should fill out the connect with us form and check the email in the link of the next page","","Tue Dec 17 10:52:17 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","125955","should check an answer for a question about how to get started in SMS API section","","Tue Dec 17 10:52:47 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","12582","should submit download pricing form on messaging api page","","Tue Dec 17 10:54:40 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","53512","should check customer story `one text`","","Tue Dec 17 10:53:59 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","17760","should check programmable networking pricing by selected currency ","","Tue Dec 17 10:54:35 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","151619","should check results in a table of global coverage with selected region","","Tue Dec 17 10:52:21 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","111612","should check an answer for a question about images and videos in SMS API section","","Tue Dec 17 10:53:01 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","6111","should not sign up with invalid credentials (insecure password)","","Tue Dec 17 10:52:00 CET 2024","passed","Tue Dec 17 10:52:06 CET 2024","","Telnyx testing","",""
"","24513","should search by an invalid keyword in healthcare and check no results message","","Tue Dec 17 10:54:28 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","93048","should show coverage in selected country on the global coverage map on the main page","","Tue Dec 17 10:53:20 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","77050","should check sim card pricing depending on input params","","Tue Dec 17 10:53:36 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","134348","should check an answer for a question about SDKs in SMS API section","","Tue Dec 17 10:52:39 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","60156","should check telnyx storage pricing depending on input params","","Tue Dec 17 10:53:53 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","34285","should search the use case by keyword in healthcare and check first result","","Tue Dec 17 10:54:19 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
"","46466","should submit the partnership form","","Tue Dec 17 10:54:06 CET 2024","passed","Tue Dec 17 10:54:53 CET 2024","","Telnyx testing","",""
