"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 13:16:57 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","49353","","Telnyx testing","","","","should submit the partnership form",""
"passed","Wed Dec 18 13:17:19 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","26865","","Telnyx testing","","","","should search by an invalid keyword in healthcare and check no results message",""
"passed","Wed Dec 18 13:15:04 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","162486","","Telnyx testing","","","","should fill out the connect with us form and check the email in the link of the next page",""
"passed","Wed Dec 18 13:16:45 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","60542","","Telnyx testing","","","","should check customer story `one text`",""
"passed","Wed Dec 18 13:17:41 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","4964","","Telnyx testing","","","","should check `how it works` statments on mission control portal page",""
"passed","Wed Dec 18 13:16:19 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","86889","","Telnyx testing","","","","should check sim card pricing depending on input params",""
"passed","Wed Dec 18 13:17:26 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","19922","","Telnyx testing","","","","should check programmable networking pricing by selected currency ",""
"passed","Wed Dec 18 13:15:47 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","119186","","Telnyx testing","","","","should check an answer for a question about images and videos in SMS API section",""
"passed","Wed Dec 18 13:17:33 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","12980","","Telnyx testing","","","","should submit download pricing form on messaging api page",""
"passed","Wed Dec 18 13:17:10 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","35669","","Telnyx testing","","","","should search the use case by keyword in healthcare and check first result",""
"passed","Wed Dec 18 13:14:58 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","168198","","Telnyx testing","","","","should send a prompt and check the appearance of an assistant word in a chat with the AI model",""
"passed","Wed Dec 18 13:15:26 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","139814","","Telnyx testing","","","","should check an answer for a question about how to get started in SMS API section",""
"passed","Wed Dec 18 13:14:47 GMT 2024","Wed Dec 18 13:14:54 GMT 2024","6862","","Telnyx testing","","","","should not sign up with invalid credentials (insecure password)",""
"passed","Wed Dec 18 13:15:37 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","129264","","Telnyx testing","","","","should check an answer for a question about carrier fees in SMS API section",""
"passed","Wed Dec 18 13:14:54 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","171903","","Telnyx testing","","","","should not submit the form to try the AI-powered demo (without an agreement to terms and conditions)",""
"passed","Wed Dec 18 13:16:04 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","102331","","Telnyx testing","","","","should show coverage in selected country on the global coverage map on the main page",""
"passed","Wed Dec 18 13:16:34 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","71780","","Telnyx testing","","","","should check telnyx storage pricing depending on input params",""
"passed","Wed Dec 18 13:15:09 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","157418","","Telnyx testing","","","","should check results in a table of global coverage with selected region",""
"passed","Wed Dec 18 13:15:57 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","108985","","Telnyx testing","","","","should check pricing of voice API by selected country and currency",""
"passed","Wed Dec 18 13:15:15 GMT 2024","Wed Dec 18 13:17:46 GMT 2024","150747","","Telnyx testing","","","","should check an answer for a question about SDKs in SMS API section",""
